D1,S,S,S,S,0.352,0.352
M1,M1,S,D2,S,0.116,0.155
S,M1,S,D1,M,0.691,0.691
S,S,M1,S,M,0.277,0.322
M1,M1,S,D1,M,0.53,0.53
S,D1,M1,D1,M,0.343,0.418
S,S,M1,D1,S,0.281,0.315
S,S,S,D1,M,0.517,0.517
D1,M1,M1,S,S,0.147,0.23
M1,S,S,D1,S,0.263,0.487
M1,S,S,D1,M,0.449,0.449
D1,S,S,S,M,0.28,0.438
M1,S,M1,D1,M,0.459,0.459
S,S,S,D1,S,0.282,0.494
S,M1,M1,S,M,0.216,0.274
D1,M1,M1,S,M,0.648,0.753
M1,M1,S,D2,M,0.462,0.651
S,M1,D1,S,M,0.172,0.21
S,M1,S,S,M,0.339,0.394
M1,M2,M1,S,S,0.134,0.144
M1,S,D1,D1,M,0.25,0.25
S,M1,D2,D1,M,0.377,0.406
D1,M1,D1,S,M,0.375,0.436
D1,M1,S,S,S,0.453,0.487
S,S,M1,D1,M,0.309,0.309
S,M1,S,D2,M,0.176,0.176
M2,M1,M1,D1,M,0.478,0.478
S,M1,D1,D1,M,0.374,0.374
S,M1,M1,D2,M,0.534,0.534
M1,S,M1,S,M,0.369,0.369
S,M2,S,S,M,0.198,0.348
S,M2,S,D1,M,0.343,0.343
M2,M1,M1,D2,M,0.334,0.334
S,S,S,D2,M,0.231,0.231
S,M1,S,D1,S,0.422,0.491
S,M1,M1,D1,M,0.267,0.267
M1,M1,D1,D1,M,0.661,0.661
S,S,D1,D1,M,0.234,0.41
M1,M2,M1,D1,M,0.185,0.185
S,S,S,M1,M,0.569,0.569
M1,M1,D1,D1,S,0.156,0.23
S,D1,D1,S,S,0.057,0.114
D1,D1,S,S,M,0.332,0.345
S,S,M2,D1,M,0.394,0.423
M1,M1,M1,D1,M,0.347,0.347
M1,M1,S,D1,S,0.234,0.366
S,M1,M1,D1,S,0.307,0.451
M1,M1,M1,S,M,0.273,0.273
M1,M1,S,S,M,0.299,0.299
S,M1,M1,S,S,0.374,0.527
D1,M1,S,M1,M,0.296,0.318
D1,D1,S,S,S,0.396,0.482
D1,D1,S,D1,M,0.286,0.362
D1,D1,D1,M1,S,0.221,0.409
D1,M1,S,S,M,0.288,0.3
S,M1,D1,D1,S,0.196,0.306
M1,M1,M1,M1,S,0.312,0.351
D1,M1,S,D1,M,0.338,0.363
D1,S,D2,D1,M,0.363,0.363
S,S,D1,M1,M,0.18,0.228
S,S,D2,S,M,0.224,0.393
S,S,S,S,S,0.344,0.37
M1,M1,D1,S,M,0.244,0.244
S,M1,S,M1,S,0.252,0.319
S,M1,S,S,S,0.403,0.403
S,M1,M1,M1,M,0.307,0.307
D1,S,D1,S,S,0.332,0.332
D1,S,M1,D1,S,0.255,0.274
S,D1,D2,S,S,0.165,0.208
M1,S,S,S,S,0.169,0.238
D1,M1,S,M1,S,0.462,0.585
D1,D2,D1,S,S,0.078,0.138
D1,M1,D2,S,S,0.143,0.223
S,S,S,M1,D,0.342,0.342
D1,S,D1,D1,M,0.268,0.47
D1,S,M1,S,S,0.401,0.508
D1,M1,D1,M1,M,0.252,0.504
M2,M1,M1,S,S,0.156,0.274
S,D1,D1,D1,M,0.245,0.264
D1,M1,D1,S,S,0.278,0.435
S,D1,D1,S,M,0.262,0.369
D1,M1,D1,M1,S,0.122,0.142
S,S,D1,D1,S,0.352,0.618
D2,M1,D1,D1,M,0.49,0.49
M2,M1,D1,D1,M,0.155,0.155
S,S,M1,M1,S,0.291,0.388
D1,D1,S,M1,M,0.282,0.282
S,D2,D1,D2,M,0.56,0.56
S,S,D1,S,S,0.198,0.397
M1,S,S,S,M,0.305,0.318
D1,M2,D1,S,M,0.265,0.39
M1,S,D1,S,M,0.341,0.341
S,M1,D1,M1,S,0.352,0.409
S,M1,M2,S,M,0.187,0.263
D1,M1,S,M2,M,0.479,0.749
M1,M1,D1,M1,M,0.073,0.115
S,S,S,M1,S,0.216,0.304
M1,S,D1,S,S,0.182,0.284
M1,S,D1,M1,S,0.121,0.189
S,M1,D2,S,S,0.22,0.237
D1,S,M1,D1,M,0.257,0.257
S,M1,D1,S,D,0.15,0.262
M1,M1,M1,S,S,0.413,0.413
S,D1,M1,M1,M,0.14,0.219
S,M1,M2,M1,M,0.122,0.213
